Epoch,Norm,Opt,Lr,Momentum,Weight_decay,Train_Loss,Test_Loss,Test_Accuracy
1,Group Norm,adam,0.001,0.5,0,2.200617708513499,1.8014356109160412,0.3283
2,Group Norm,adam,0.001,0.5,0,1.6346961958024202,1.4218176135533973,0.4745
3,Group Norm,adam,0.001,0.5,0,1.3728496220410633,1.2377387270142761,0.5514
4,Group Norm,adam,0.001,0.5,0,1.1940422925497869,1.1934196798107293,0.5696
5,Group Norm,adam,0.001,0.5,0,1.0330601223289508,1.0118460157249547,0.6398
6,Group Norm,adam,0.001,0.5,0,0.9071588953742591,0.900993222677255,0.6835
7,Group Norm,adam,0.001,0.5,0,0.7981655111398234,0.8168749356571632,0.7144
8,Group Norm,adam,0.001,0.5,0,0.7286065657577856,0.7795554671106459,0.7283
9,Group Norm,adam,0.001,0.5,0,0.6433070126701804,0.7308588307115096,0.7459
10,Group Norm,adam,0.001,0.5,0,0.566830506181473,0.7093848314466356,0.7532
11,Group Norm,adam,0.001,0.5,0,0.5008802249303559,0.7595226323302788,0.7522
12,Group Norm,adam,0.001,0.5,0,0.4421709863959676,0.7036102010479456,0.7701
13,Group Norm,adam,0.001,0.5,0,0.39048928251046966,0.7609487462647354,0.7708
14,Group Norm,adam,0.001,0.5,0,0.3357113550233719,0.7240136552460587,0.7772
15,Group Norm,adam,0.001,0.5,0,0.27400811268088154,0.8341834537590607,0.7576
16,Group Norm,adam,0.001,0.5,0,0.2472161676001061,0.8525216292731369,0.7597
17,Group Norm,adam,0.001,0.5,0,0.1944797982073501,0.8588690621943413,0.7687
18,Group Norm,adam,0.001,0.5,0,0.1628098180874839,0.8072096479089954,0.7835
19,Group Norm,adam,0.001,0.5,0,0.1320840011129294,0.9422712937186036,0.7696
20,Group Norm,adam,0.001,0.5,0,0.11422000576258468,0.9465414074402821,0.775
21,Group Norm,adam,0.001,0.5,0,0.020384039488666312,0.9305597094795371,0.8098
22,Group Norm,adam,0.001,0.5,0,0.0031035115575844237,1.0437557463404499,0.81
23,Group Norm,adam,0.001,0.5,0,0.0011197821642962924,1.1078961982002742,0.813
24,Group Norm,adam,0.001,0.5,0,0.000578981899770091,1.1799649369867542,0.8124
25,Group Norm,adam,0.001,0.5,0,0.0003658769496642422,1.243552444101889,0.8118
26,Group Norm,adam,0.001,0.5,0,0.00024895064399593753,1.3019670595096637,0.8126
27,Group Norm,adam,0.001,0.5,0,0.00017200494462916272,1.363399335100681,0.8107
28,Group Norm,adam,0.001,0.5,0,0.00012203837655421556,1.4254917457133909,0.8101
29,Group Norm,adam,0.001,0.5,0,8.676157322368505e-05,1.4835477169555953,0.8107
30,Group Norm,adam,0.001,0.5,0,6.183308118976185e-05,1.5514664536790004,0.809
31,Group Norm,adam,0.001,0.5,0,4.638508423626789e-05,1.5719502341898182,0.8099
32,Group Norm,adam,0.001,0.5,0,4.124599401197453e-05,1.5981692860398111,0.809
33,Group Norm,adam,0.001,0.5,0,3.622315208813327e-05,1.6281618068489847,0.81
34,Group Norm,adam,0.001,0.5,0,3.130246289022689e-05,1.66047286685509,0.8092
35,Group Norm,adam,0.001,0.5,0,2.6602064621947927e-05,1.694039882738379,0.8097
36,Group Norm,adam,0.001,0.5,0,2.2318550396876698e-05,1.7306132165691521,0.8098
37,Group Norm,adam,0.001,0.5,0,1.8510900188123245e-05,1.7698752306684662,0.8101
38,Group Norm,adam,0.001,0.5,0,1.5208347986233891e-05,1.8077086180071287,0.8092
39,Group Norm,adam,0.001,0.5,0,1.2398258510456287e-05,1.846033951149711,0.8099
40,Group Norm,adam,0.001,0.5,0,1.0038590624069056e-05,1.8856493634513662,0.8099
41,Group Norm,adam,0.001,0.5,0,8.318609986099196e-06,1.8979772593401656,0.8101
42,Group Norm,adam,0.001,0.5,0,7.712717945341725e-06,1.9125035412703888,0.81
43,Group Norm,adam,0.001,0.5,0,7.098983120098186e-06,1.92666804639599,0.8097
44,Group Norm,adam,0.001,0.5,0,6.467115386128527e-06,1.9463244321980053,0.8098
45,Group Norm,adam,0.001,0.5,0,5.823212547192831e-06,1.9645504423334628,0.8098
46,Group Norm,adam,0.001,0.5,0,5.213998916353092e-06,1.9828072092201137,0.8099
47,Group Norm,adam,0.001,0.5,0,4.627545079894421e-06,2.0037105400351027,0.8095
48,Group Norm,adam,0.001,0.5,0,4.0592858332318964e-06,2.0236025354530236,0.8105
49,Group Norm,adam,0.001,0.5,0,3.527809681023181e-06,2.0454561182215243,0.8097
50,Group Norm,adam,0.001,0.5,0,3.049028306783241e-06,2.06935256040549,0.8105
1,Group Norm,adam,0.001,0.9,0,2.200617708513499,1.8014356109160412,0.3283
2,Group Norm,adam,0.001,0.9,0,1.6346961958024202,1.4218176135533973,0.4745
3,Group Norm,adam,0.001,0.9,0,1.3728496220410633,1.2377387270142761,0.5514
4,Group Norm,adam,0.001,0.9,0,1.1940422925497869,1.1934196798107293,0.5696
5,Group Norm,adam,0.001,0.9,0,1.0330601223289508,1.0118460157249547,0.6398
6,Group Norm,adam,0.001,0.9,0,0.9071588953742591,0.900993222677255,0.6835
7,Group Norm,adam,0.001,0.9,0,0.7981655111398234,0.8168749356571632,0.7144
8,Group Norm,adam,0.001,0.9,0,0.7286065657577856,0.7795554671106459,0.7283
9,Group Norm,adam,0.001,0.9,0,0.6433070126701804,0.7308588307115096,0.7459
10,Group Norm,adam,0.001,0.9,0,0.566830506181473,0.7093848314466356,0.7532
11,Group Norm,adam,0.001,0.9,0,0.5008802249303559,0.7595226323302788,0.7522
12,Group Norm,adam,0.001,0.9,0,0.4421709863959676,0.7036102010479456,0.7701
13,Group Norm,adam,0.001,0.9,0,0.39048928251046966,0.7609487462647354,0.7708
14,Group Norm,adam,0.001,0.9,0,0.3357113550233719,0.7240136552460587,0.7772
15,Group Norm,adam,0.001,0.9,0,0.27400811268088154,0.8341834537590607,0.7576
16,Group Norm,adam,0.001,0.9,0,0.2472161676001061,0.8525216292731369,0.7597
17,Group Norm,adam,0.001,0.9,0,0.1944797982073501,0.8588690621943413,0.7687
18,Group Norm,adam,0.001,0.9,0,0.1628098180874839,0.8072096479089954,0.7835
19,Group Norm,adam,0.001,0.9,0,0.1320840011129294,0.9422712937186036,0.7696
20,Group Norm,adam,0.001,0.9,0,0.11422000576258468,0.9465414074402821,0.775
21,Group Norm,adam,0.001,0.9,0,0.020384039488666312,0.9305597094795371,0.8098
22,Group Norm,adam,0.001,0.9,0,0.0031035115575844237,1.0437557463404499,0.81
23,Group Norm,adam,0.001,0.9,0,0.0011197821642962924,1.1078961982002742,0.813
24,Group Norm,adam,0.001,0.9,0,0.000578981899770091,1.1799649369867542,0.8124
25,Group Norm,adam,0.001,0.9,0,0.0003658769496642422,1.243552444101889,0.8118
26,Group Norm,adam,0.001,0.9,0,0.00024895064399593753,1.3019670595096637,0.8126
27,Group Norm,adam,0.001,0.9,0,0.00017200494462916272,1.363399335100681,0.8107
28,Group Norm,adam,0.001,0.9,0,0.00012203837655421556,1.4254917457133909,0.8101
29,Group Norm,adam,0.001,0.9,0,8.676157322368505e-05,1.4835477169555953,0.8107
30,Group Norm,adam,0.001,0.9,0,6.183308118976185e-05,1.5514664536790004,0.809
31,Group Norm,adam,0.001,0.9,0,4.638508423626789e-05,1.5719502341898182,0.8099
32,Group Norm,adam,0.001,0.9,0,4.124599401197453e-05,1.5981692860398111,0.809
33,Group Norm,adam,0.001,0.9,0,3.622315208813327e-05,1.6281618068489847,0.81
34,Group Norm,adam,0.001,0.9,0,3.130246289022689e-05,1.66047286685509,0.8092
35,Group Norm,adam,0.001,0.9,0,2.6602064621947927e-05,1.694039882738379,0.8097
36,Group Norm,adam,0.001,0.9,0,2.2318550396876698e-05,1.7306132165691521,0.8098
37,Group Norm,adam,0.001,0.9,0,1.8510900188123245e-05,1.7698752306684662,0.8101
38,Group Norm,adam,0.001,0.9,0,1.5208347986233891e-05,1.8077086180071287,0.8092
39,Group Norm,adam,0.001,0.9,0,1.2398258510456287e-05,1.846033951149711,0.8099
40,Group Norm,adam,0.001,0.9,0,1.0038590624069056e-05,1.8856493634513662,0.8099
41,Group Norm,adam,0.001,0.9,0,8.318609986099196e-06,1.8979772593401656,0.8101
42,Group Norm,adam,0.001,0.9,0,7.712717945341725e-06,1.9125035412703888,0.81
43,Group Norm,adam,0.001,0.9,0,7.098983120098186e-06,1.92666804639599,0.8097
44,Group Norm,adam,0.001,0.9,0,6.467115386128527e-06,1.9463244321980053,0.8098
45,Group Norm,adam,0.001,0.9,0,5.823212547192831e-06,1.9645504423334628,0.8098
46,Group Norm,adam,0.001,0.9,0,5.213998916353092e-06,1.9828072092201137,0.8099
47,Group Norm,adam,0.001,0.9,0,4.627545079894421e-06,2.0037105400351027,0.8095
48,Group Norm,adam,0.001,0.9,0,4.0592858332318964e-06,2.0236025354530236,0.8105
49,Group Norm,adam,0.001,0.9,0,3.527809681023181e-06,2.0454561182215243,0.8097
50,Group Norm,adam,0.001,0.9,0,3.049028306783241e-06,2.06935256040549,0.8105
1,Group Norm,adam,0.01,0.5,0,2.666634205357193,2.167692658267444,0.1881
2,Group Norm,adam,0.01,0.5,0,1.976703826118918,1.8841037116473234,0.3158
3,Group Norm,adam,0.01,0.5,0,1.7351700043129494,1.8019308681729473,0.3492
4,Group Norm,adam,0.01,0.5,0,1.5657538041434325,1.5094166496131993,0.4528
5,Group Norm,adam,0.01,0.5,0,1.4202606632276569,1.3757635822779015,0.4957
6,Group Norm,adam,0.01,0.5,0,1.2851130684928211,1.2328173435187038,0.5542
7,Group Norm,adam,0.01,0.5,0,1.1565574532579583,1.1742638025102736,0.5811
8,Group Norm,adam,0.01,0.5,0,1.061171878481765,1.0131741709347013,0.6411
9,Group Norm,adam,0.01,0.5,0,0.9416962985492423,1.0298541972908792,0.6391
10,Group Norm,adam,0.01,0.5,0,0.8444120745219843,0.8830713433555409,0.6908
11,Group Norm,adam,0.01,0.5,0,0.7531205402768176,0.8377227526676806,0.709
12,Group Norm,adam,0.01,0.5,0,0.6611132832896679,0.8497566045085087,0.7039
13,Group Norm,adam,0.01,0.5,0,0.577331058661956,0.8378138610079319,0.7161
14,Group Norm,adam,0.01,0.5,0,0.5058330266219576,0.7922372184222257,0.7391
15,Group Norm,adam,0.01,0.5,0,0.4217921447418535,0.86753886108157,0.7171
16,Group Norm,adam,0.01,0.5,0,0.3420890618087081,0.8655371137812168,0.7317
17,Group Norm,adam,0.01,0.5,0,0.27144279485315925,0.97868192497688,0.7271
18,Group Norm,adam,0.01,0.5,0,0.20913747356027898,0.9822948454301569,0.7441
19,Group Norm,adam,0.01,0.5,0,0.1652920454302255,1.0791975493672528,0.7416
20,Group Norm,adam,0.01,0.5,0,0.1366920257249223,1.0785477229311495,0.7445
21,Group Norm,adam,0.01,0.5,0,0.02485527634463461,1.1687960526611232,0.7695
22,Group Norm,adam,0.01,0.5,0,0.003059279272610279,1.2582467590706259,0.7737
23,Group Norm,adam,0.01,0.5,0,0.0010670069297698214,1.3200130213665058,0.7747
24,Group Norm,adam,0.01,0.5,0,0.0006542380163332928,1.3672990934758247,0.7741
25,Group Norm,adam,0.01,0.5,0,0.0004635507590286291,1.4069122996511338,0.7739
26,Group Norm,adam,0.01,0.5,0,0.0003461570025968325,1.4429077543789828,0.7737
27,Group Norm,adam,0.01,0.5,0,0.0002640357096520219,1.4760084438927565,0.7745
28,Group Norm,adam,0.01,0.5,0,0.00020475080298200903,1.5096428854556023,0.7741
29,Group Norm,adam,0.01,0.5,0,0.00016016768786543802,1.5377724547929401,0.7742
30,Group Norm,adam,0.01,0.5,0,0.00012617509661312632,1.5685387449928476,0.7735
31,Group Norm,adam,0.01,0.5,0,0.00010118715743751019,1.5802845041963118,0.7738
32,Group Norm,adam,0.01,0.5,0,9.327155806127485e-05,1.5925638622875455,0.7736
33,Group Norm,adam,0.01,0.5,0,8.526403642305092e-05,1.6060297353358208,0.7736
34,Group Norm,adam,0.01,0.5,0,7.725855658414996e-05,1.6202471007274677,0.7736
35,Group Norm,adam,0.01,0.5,0,6.915462157583934e-05,1.636110795449607,0.7741
36,Group Norm,adam,0.01,0.5,0,6.120035646289326e-05,1.6531002227264116,0.7738
37,Group Norm,adam,0.01,0.5,0,5.359002236330309e-05,1.6714908918247948,0.7742
38,Group Norm,adam,0.01,0.5,0,4.639210305111917e-05,1.691129683693753,0.773
39,Group Norm,adam,0.01,0.5,0,3.986950749262308e-05,1.710268939597697,0.7734
40,Group Norm,adam,0.01,0.5,0,3.389478832551548e-05,1.7327814788758,0.773
41,Group Norm,adam,0.01,0.5,0,2.8855396452194015e-05,1.7412264520608927,0.773
42,Group Norm,adam,0.01,0.5,0,2.715829677260591e-05,1.751066047179548,0.7735
43,Group Norm,adam,0.01,0.5,0,2.5389695003789657e-05,1.7602944177917288,0.7736
44,Group Norm,adam,0.01,0.5,0,2.351001238102725e-05,1.772764027873172,0.7734
45,Group Norm,adam,0.01,0.5,0,2.1570418336972223e-05,1.7845568136323857,0.774
46,Group Norm,adam,0.01,0.5,0,1.9631970919172347e-05,1.7969110924986345,0.775
47,Group Norm,adam,0.01,0.5,0,1.7664805596732757e-05,1.8108445164523548,0.7748
48,Group Norm,adam,0.01,0.5,0,1.5764325579559573e-05,1.8277049223078956,0.7746
49,Group Norm,adam,0.01,0.5,0,1.3933364033202634e-05,1.8442656382729736,0.7745
50,Group Norm,adam,0.01,0.5,0,1.2223148116479193e-05,1.8611466409284858,0.7744
1,Group Norm,adam,0.01,0.9,0,2.666634205357193,2.167692658267444,0.1881
2,Group Norm,adam,0.01,0.9,0,1.976703826118918,1.8841037116473234,0.3158
3,Group Norm,adam,0.01,0.9,0,1.7351700043129494,1.8019308681729473,0.3492
4,Group Norm,adam,0.01,0.9,0,1.5657538041434325,1.5094166496131993,0.4528
5,Group Norm,adam,0.01,0.9,0,1.4202606632276569,1.3757635822779015,0.4957
6,Group Norm,adam,0.01,0.9,0,1.2851130684928211,1.2328173435187038,0.5542
7,Group Norm,adam,0.01,0.9,0,1.1565574532579583,1.1742638025102736,0.5811
8,Group Norm,adam,0.01,0.9,0,1.061171878481765,1.0131741709347013,0.6411
9,Group Norm,adam,0.01,0.9,0,0.9416962985492423,1.0298541972908792,0.6391
10,Group Norm,adam,0.01,0.9,0,0.8444120745219843,0.8830713433555409,0.6908
11,Group Norm,adam,0.01,0.9,0,0.7531205402768176,0.8377227526676806,0.709
12,Group Norm,adam,0.01,0.9,0,0.6611132832896679,0.8497566045085087,0.7039
13,Group Norm,adam,0.01,0.9,0,0.577331058661956,0.8378138610079319,0.7161
14,Group Norm,adam,0.01,0.9,0,0.5058330266219576,0.7922372184222257,0.7391
15,Group Norm,adam,0.01,0.9,0,0.4217921447418535,0.86753886108157,0.7171
16,Group Norm,adam,0.01,0.9,0,0.3420890618087081,0.8655371137812168,0.7317
17,Group Norm,adam,0.01,0.9,0,0.27144279485315925,0.97868192497688,0.7271
18,Group Norm,adam,0.01,0.9,0,0.20913747356027898,0.9822948454301569,0.7441
19,Group Norm,adam,0.01,0.9,0,0.1652920454302255,1.0791975493672528,0.7416
20,Group Norm,adam,0.01,0.9,0,0.1366920257249223,1.0785477229311495,0.7445
21,Group Norm,adam,0.01,0.9,0,0.02485527634463461,1.1687960526611232,0.7695
22,Group Norm,adam,0.01,0.9,0,0.003059279272610279,1.2582467590706259,0.7737
23,Group Norm,adam,0.01,0.9,0,0.0010670069297698214,1.3200130213665058,0.7747
24,Group Norm,adam,0.01,0.9,0,0.0006542380163332928,1.3672990934758247,0.7741
25,Group Norm,adam,0.01,0.9,0,0.0004635507590286291,1.4069122996511338,0.7739
26,Group Norm,adam,0.01,0.9,0,0.0003461570025968325,1.4429077543789828,0.7737
27,Group Norm,adam,0.01,0.9,0,0.0002640357096520219,1.4760084438927565,0.7745
28,Group Norm,adam,0.01,0.9,0,0.00020475080298200903,1.5096428854556023,0.7741
29,Group Norm,adam,0.01,0.9,0,0.00016016768786543802,1.5377724547929401,0.7742
30,Group Norm,adam,0.01,0.9,0,0.00012617509661312632,1.5685387449928476,0.7735
31,Group Norm,adam,0.01,0.9,0,0.00010118715743751019,1.5802845041963118,0.7738
32,Group Norm,adam,0.01,0.9,0,9.327155806127485e-05,1.5925638622875455,0.7736
33,Group Norm,adam,0.01,0.9,0,8.526403642305092e-05,1.6060297353358208,0.7736
34,Group Norm,adam,0.01,0.9,0,7.725855658414996e-05,1.6202471007274677,0.7736
35,Group Norm,adam,0.01,0.9,0,6.915462157583934e-05,1.636110795449607,0.7741
36,Group Norm,adam,0.01,0.9,0,6.120035646289326e-05,1.6531002227264116,0.7738
37,Group Norm,adam,0.01,0.9,0,5.359002236330309e-05,1.6714908918247948,0.7742
38,Group Norm,adam,0.01,0.9,0,4.639210305111917e-05,1.691129683693753,0.773
39,Group Norm,adam,0.01,0.9,0,3.986950749262308e-05,1.710268939597697,0.7734
40,Group Norm,adam,0.01,0.9,0,3.389478832551548e-05,1.7327814788758,0.773
41,Group Norm,adam,0.01,0.9,0,2.8855396452194015e-05,1.7412264520608927,0.773
42,Group Norm,adam,0.01,0.9,0,2.715829677260591e-05,1.751066047179548,0.7735
43,Group Norm,adam,0.01,0.9,0,2.5389695003789657e-05,1.7602944177917288,0.7736
44,Group Norm,adam,0.01,0.9,0,2.351001238102725e-05,1.772764027873172,0.7734
45,Group Norm,adam,0.01,0.9,0,2.1570418336972223e-05,1.7845568136323857,0.774
46,Group Norm,adam,0.01,0.9,0,1.9631970919172347e-05,1.7969110924986345,0.775
47,Group Norm,adam,0.01,0.9,0,1.7664805596732757e-05,1.8108445164523548,0.7748
48,Group Norm,adam,0.01,0.9,0,1.5764325579559573e-05,1.8277049223078956,0.7746
49,Group Norm,adam,0.01,0.9,0,1.3933364033202634e-05,1.8442656382729736,0.7745
50,Group Norm,adam,0.01,0.9,0,1.2223148116479193e-05,1.8611466409284858,0.7744
